Razão Social,Nome Fantasia,CNPJ,Cidade,UF,Todos os telefones extras (exceto de contador),Endereço na Web,URL do Facebook,URL do Instagram,Administrador,E-mails Válidos
MAGNA INDUSTRIA DE MOLDES E MATRIZES LTDA,MAGNA MOLDES,11.283.620/0001-00,Joinville,SC,"4730285300, 11995463184",https://magnamoldes.com.br/,facebook.com/magnamoldes,,JULIO  S. C. M.,
CAMPEA INDUSTRIA E COM. DE METAIS LTDA,METAIS CAMPEA,07.068.435/0001-17,Loanda,PR,"4434258600, 44999333671, 4434254228",https://www.fortmetais.com.br/index.php/categorias/linha-ametista?url=produtos/categorias/linha-ametista,facebook.com/fortmetaissanitarios,,RAFAEL  A. B.,"comercial@fortmetais.com.br, edvaldo@fortmetais.com.br, rafaelbonetti@campeametais.com.br"
PERFIMEC S/A - CENTRO DE SERVICOS EM ACO,,07.783.926/0001-40,São josé dos pinhais,PR,"4130587700, 41988353534, 3138788957",https://perfimec.com.br/,facebook.com/Perfimec,,DANNY  J. B.,
LINEAR ACESSORIOS PARA CONSTRUCAO LTDA,GRUPO LINEAR,14.602.231/0001-80,Blumenau,SC,4730375323,https://elleve.ind.br/,facebook.com/lineargrupo,,FERNANDO  P. D. O.,
GALVANIZACAO BERETTA LTDA,,11.859.889/0001-83,Araquari,SC,"4734520020, 47992228949",http://gberetta.com.br,facebook.com/beregalv,,MARIO  B. F.,vendas@beretta.com.br
KOPEMPACK EQUIPAMENTOS LTDA,,08.778.022/0001-99,São josé dos pinhais,PR,4130720335,https://kopempack.com.br/,facebook.com/pages/Kopempack-Equipamentos-Ltda/912073468905148,,MARCOS  P. P.,
MEDAL FUNDICAO LTDA,MEDAL FUNDICAO,14.921.288/0001-41,Luzerna,SC,4935234400,https://medalfundicao.com.br/,facebook.com/MedalBombasHidraulicas,,ADEMIR  L. D. L.,
MARCHER BRASIL AGROINDUSTRIAL SA,,06.221.454/0001-79,Gravataí,RS,"5134845500, 5132387006",https://marcher.com.br/,facebook.com/MarcherBrasil,,MARCOS  B. H.,
STW SOLUCOES EM AUTOMACAO LTDA,STW,07.984.054/0001-88,Lajeado,RS,5137141600,https://stwtecnologia.com.br/,facebook.com/stwautomacao,,ANDERSON  R.,"edilson.quevedo@stwautomacao.com.br, mateus.pelegrini@stwautomacao.com.br, thadeu@stwautomacao.com.br, ricardo.lacerda@stwautomacao.com.br, junior@stwautomacao.com.br, daniel.rockenbach@stwautomacao.com.br, joel.brandt@stwautomacao.com.br, denise@stwautomacao.com.br, tiago.grebin@stwautomacao.com.br, mario.winck@stwautomacao.com.br, rodrigo@stwautomacao.com.br, gabriel.diehl@stwautomacao.com.br, adriel.colcenti@stwautomacao.com.br, eduardo.link@stwautomacao.com.br, eduardo.reis@stwautomacao.com.br, gustavo.scheeren@stwautomacao.com.br, anderson@stwautomacao.com.br, marina.fleck@stwautomacao.com.br, alexandre@stwautomacao.com.br, guilherme.fischer@stwautomacao.com.br, valdenir.silva@stwautomacao.com.br, tiago.keller@stwautomacao.com.br, mateus.reis@stwautomacao.com.br, vitor.quadros@stwautomacao.com.br, marcelo.marins@stwautomacao.com.br, guilherme.michels@stwautomacao.com.br, lucas.petzhold@stwautomacao.com.br, paulo.orlandi@stwautomacao.com.br, fabiano@stwautomacao.com.br, luan.muller@stwautomacao.com.br, alison.santos@stwautomacao.com.br, josiane.pedroso@stwautomacao.com.br"
POWERMIG AUTOMACAO E SOLDAGEM LTDA,,08.380.295/0001-80,Caxias do sul,RS,"5430225050, 5430283114, 5430225060, 1124314700",https://powermig.com.br/,facebook.com/powermigrobotica,,NELSON  A. S. F.,
TKA GUINDASTES INDUSTRIA E COMERCIO LTDA,TKA GUINDASTES,09.332.314/0001-66,Flores da cunha,RS,5432023000,http://tkacranes.com,facebook.com/tkacranes,,MARCO  A. N. W.,
ECOFIBRAS INDUSTRIA TEXTIL LTDA,EUROFIOS,07.182.774/0001-20,Blumenau,SC,4732319900,https://euroroma.com.br/,facebook.com/EuroFios,,PAULO  R. S. F.,adm@eurofios.com.br
GIRACOR TEXTIL LTDA,,07.598.373/0001-55,Brusque,SC,"4732517800, 4733503353",https://giracortextil.com.br/,facebook.com/giracortextil,,EDERSON  J. G.,
STERLITE CONDUSPAR INDUSTRIAL LTDA,,17.819.305/0001-22,São josé dos pinhais,PR,"4121096000, 4121096064, 4121096037",https://sterliteconduspar.com.br/,,instagram.com/sterliteconduspar,ANDRE  R. A.,
MAX INDUSTRIA E COMERCIO DE ALUMINIOS LTDA,MAX FERRAGENS E ACESSORIOSPARA VIDROS,13.928.922/0001-05,São josé dos pinhais,PR,"4131077184, 4133797258, 4131344450",https://maxperfil.com.br/,facebook.com/maxperfilpr,,MELISSA  A. C.,
MAGIC BRANDS INDUSTRIA E COMERCIO DE CONFECCOES LTDA,,11.734.998/0001-74,Gravataí,RS,5133965000,https://magicbrands.com.br/,facebook.com/LRGBRASIL,,GLAUBER  M. P.,
REGINATO METAIS INDUSTRIA E COMERCIO LTDA,REGINATO METAIS,14.804.535/0001-20,Campo bom,RS,5135851082,http://www.reginatometais.com.br/,,instagram.com/reginatometais,VOLMAR  J. P. R.,
J ANFLOR ELETRONICOS LTDA,SOUNDIGITAL,08.218.472/0001-27,Gravataí,RS,5130429001,http://soundigital.com.br,facebook.com/592050134192659,,JULIANO  A.,diogo@ianaconi.com.br
PANTANEIRO INDUSTRIA E COMERCIO DE CAPAS LTDA,,07.420.173/0001-08,São leopoldo,RS,"5135904217, 5132485202, 4733552636, 6733214443, 4532274060, 5333018000, 4836234031, 21977376431, 4830581627",https://pantaneirocapas.com.br/,facebook.com/pantaneirocapas,,RAFAELA  N. G.,"alex@pantaneirocapas.com.br, sac@pantaneirocapas.com.br, alexandre@pantaneirocapas.com.br, guilherme@pantaneirocapas.com.br, rafaela@pantaneirocapas.com.br, leonice@pantaneirocapas.com.br, patricia@pantaneirocapas.com.br, flavia@pantaneirocapas.com.br, angelica@pantaneirocapas.com.br, gabriela@pantaneirocapas.com.br, luis@pantaneirocapas.com.br, bruna@pantaneirocapas.com.br"
SENSOR-COMERCIO DE PECAS E EQUIPAMENTOS INDUSTRIAIS LTDA,SENSOR DO BRASIL,09.060.598/0001-89,Novo hamburgo,RS,5135243113,https://sensorbrasil.com/,facebook.com/SensorBrasil,,SENSOR  A. A. S.,vendas1@sensorbrasil.com
MAHINDRA DO BRASIL INDUSTRIAL LTDA,MAHINDRA DO BRASIL,23.972.590/0001-10,Dois irmãos,RS,"5131912020, 5135649700, 51996029900, 5133033828, 51993501272, 4735571378, 4835250909, 4736532236, 4635251567, 4335572540, 4430170007, 5332513001, 5532111071, 5432322196, 3532191830, 3532191854, 3438322400, 3732325050, 27998491374, 2731510700, 32991991670, 47996208870, 1936633116, 1936631393, 1433516049",https://mahindrabrasil.com.br/,facebook.com/MahindraBR,,JAK  T. J.,
CASAGRANDE & PINHEIRO LTDA,PERFITEC,08.214.370/0001-33,Estrela,RS,"5137121963, 5137122691",http://perfitecrs.com.br,facebook.com/PerfitecEstrelars,,LEONARDO  C.,
FCF - FABRICA CATARINENSE DE FIXADORES S.A,FCF,15.066.155/0001-06,Araquari,SC,"4734413924, 4734413999, 4734413550",https://fcfixadores.com.br/,facebook.com/fcfixadores,,CARLOS  R. S.,
ONIX TECNOLOGIA DO BRASIL LTDA,ONIX TECNOLOGIA DO BRASIL,10.669.788/0001-87,Imbituba,SC,"4832547200, 11969828578",https://onix.seg.br/,facebook.com/onixtecnologia,,JULIANA  D. S. N.,
ROLPAF BENEFICIAMENTO DE METAIS LTDA,,10.139.523/0001-77,Caxias do sul,RS,5432248117,http://fabrismetalcriativo.com.br,facebook.com/Rolpaf-Beneficiamento-de-Metais-Ltda-504386509585005,,PABLO  F.,
STOCKMANS INDUSTRIA MECANICA LTDA,STOCKMANS INDUSTRIA MECANICA,10.429.551/0001-29,Nova prata,RS,"5432427012, 5432424855",http://stockmans.ind.br,facebook.com/stockmansindustria,,RODRIGO  S.,
INECEL ESTRUTURAS ELETRICAS LTDA,INECEL ESTRUTURAS ELETRICAS,17.750.961/0001-16,Guaramirim,SC,"4731600100, 1140630507",https://inecel.com.br/,facebook.com/2225353144204385,,MARCELO  S. S.,
SCHWEITZER INDUSTRIA E COMERCIO DE METAIS LTDA,KSD METAIS,09.590.371/0001-45,Dois irmãos,RS,5135641500,http://ksdmetais.com.br,facebook.com/KSDMetais,,VALDECIR  F. S.,
CSM ENGENHARIA DE MOVIMENTACAO LTDA.,,08.860.054/0001-39,Jaraguá do sul,SC,"4733727600, 4733727612, 4733727642",http://csmmovimentacao.com.br,facebook.com/csmmaquinas,,RENATO  R.,atendimento@csm.ind.br
PHAMETAL METALURGICA LTDA.,,19.335.438/0001-59,Bento gonçalves,RS,"5434521536, 54999277393, 5434527363, 5430850000",https://phametal.com.br/,facebook.com/Phametal-Metalurgica-236453066548991,,MOACIR  J. M.,"phametal@phametal.com.br, luiz@phametal.com.br, ruaro@phametal.com.br"
INSTOR-PROJETOS E ROBOTICA LTDA,,10.206.631/0001-15,Viamão,RS,"51998721613, 51994771412, 5133528286, 51997522728, 51992397269",https://instor.com.br/,facebook.com/instor.robotica,,MIGUEL  I. S.,"miguel@instor.com.br, marta@instor.com.br, contato@instor.com.br, giovani@instor.com.br, eduardo@instor.com.br, financeiro@instor.com.br, compras@instor.com.br, vendas@instor.com.br, andre@instor.com.br, leandro@instor.com.br, rafael@instor.com.br, paulorosa@instor.com.br, claudio@instor.com.br, gerencia@instor.com.br, posvendas@instor.com.br"
C&M LASER INDUSTRIAL LTDA,MAC LASER INDUSTRIAL,18.063.998/0001-39,Joinville,SC,"4732027200, 4734641080",http://maclaser.ind.br,facebook.com/MacLaser.Industrial,,JAMES  L. M.,
DUARTE & DUARTE METALURGICA LTDA,MULTIMETAL,15.354.429/0001-54,Pinhais,PR,"4136661828, 41987759333",http://multimetal.net.br,facebook.com/MultimetalMetalurgia,instagram.com/multimetalmetalurgica,UZIEL  A. D.,"multimetal@multimetal.net.br, uziel@multimetal.net.br, larissa@multimetal.net.br"
DITTRICH & DITTRICH USINAGEM LTDA,DITTRICH USINAGEM,23.208.472/0001-30,Curitiba,PR,4130249261,https://dittrich.ind.br/,facebook.com/Dittrich-Usinagem-714334758917795,,EDUARDO  L. D.,
IMAK INDUSTRIAL LTDA.,IMAK INDUSTRIAL,18.165.513/0001-18,Santa rosa,RS,"5535114112, 5535124112",https://imakindustrial.com.br/,facebook.com/imakindustrial,,ROGERIO  R.,
KR3 INDUSTRIA E COMERCIO DE CONFECCOES LTDA,BUGBEE,10.582.301/0001-24,Jaraguá do sul,SC,"4732752745, 47999220369, 4732736770",https://bugbee.com.br/,facebook.com/bugbeelab,,ELIAKIM  A. P.,"ivonete@verdicontadores.com.br, keli@molde.me"
LIGHT ENGINE ILUMINACAO S.A.,,24.546.165/0001-21,Itajaí,SC,4735152808,https://lightenginesa.com/,facebook.com/saveenergylife,,SAMUEL  G.,
REFRICOMP - INDUSTRIA DE COMPONENTES PARA REFRIGERACAO LTDA,REFRICOMP,07.417.647/0001-62,Lajeado,RS,"5137092931, 5137092932, 5137092933",https://refricomp.com.br/,facebook.com/Refricomp-719177441543800,,MARCOS  R. G.,
LITORAL TINTURARIA LTDA,,26.994.586/0001-40,Brusque,SC,"4732520688, 47988054793, 4732521587",https://litoraltinturaria.com.br/,facebook.com/Litoral-Tinturaria-LTDA-104426754519834,,RILDO  H.,
FORNECEDORA LAJEADENSE DE MATERIAL OPTICO LTDA,FORLA,07.327.088/0001-08,Lajeado,RS,"5130114748, 5140649513",https://forlaacademy.com.br/,facebook.com/forlaoficial,,TOMAS  H.,ricardo@forla.com.br
ERZEG INDUSTRIA ELETROELETRONICA LTDA,ERZEG,10.981.598/0001-09,Schroeder,SC,"4733746363, 4733746300",http://erzeg.com.br,facebook.com/886681418085756,,FERNANDA  K. G.,"contato@erzeg.com.br, willian@erzeg.com.br, lucio@erzeg.com.br, poliana@erzeg.com.br, fabio@erzeg.com.br"
ECOALUMI ALUMINIO SA,ECOALUMI ALUMINIOS,07.911.773/0001-79,Maringá,PR,"4430312323, 4430282607",https://ecoalumi.com.br/,facebook.com/ecoalumi,,THIAGO  D. C. A.,vendas2@ecoalumi.com.br
UTECH TECNOLOGIA LTDA,UTECH TECNOLOGIA,12.819.340/0001-28,Florianópolis,SC,4833334840,https://utech.com.br/,facebook.com/uTechTecnologia,,ROGERIO  D. S.,
RENOVIGI ENERGIA SOLAR LTDA,RENOVIGI ENGENHARIA DE SUSTENTABILIDADE,16.851.732/0001-25,Chapecó,SC,"4933239933, 49991219712",http://renovigi.com.br,facebook.com/renovigi,,RAFAEL  B.,fernanda@martinsdequadros.com.br
MCLVALE INDUSTRIA E COMERCIO LTDA,,10.894.164/0001-63,Capinzal,SC,4935553100,https://mclvale.com.br/,facebook.com/mclvale,,ALCEDIR  L.,
KAUFFER INDUSTRIA E COMERCIO DE MOVEIS LTDA,KAUFFER PILATES,11.748.120/0001-98,São josé,SC,"48984736846, 4830944250",https://kaufferpilates.com.br/,facebook.com/kaufferpilates,,FABRICIO  K. S.,"contato@kaufferpilates.com.br, patricia@kaufferpilates.com.br, rafael@kaufferpilates.com.br, fabricio@kaufferpilates.com.br, stefano@kaufferpilates.com.br, thyago@kaufferpilates.com.br, lucas@kaufferpilates.com.br, clelia@kaufferpilates.com.br, robert@kaufferpilates.com.br"
MALHAS JN S/A,BRANDILI MALHAS,12.768.720/0001-80,Rodeio,SC,"4733805000, 4733532463, 4733532401",https://brandilimalhas.com.br/,facebook.com/brandilitextil,,JORGE  L. B.,"ferdinando.valandro@brandili.com.br, brandili@brandili.com.br"
TOP COLD REFRIGERACAO INDUSTRIAL LTDA,TOP COLD REFRIGERACAO,06.947.941/0001-13,Sapucaia do sul,RS,"5134515156, 51997126458",http://topcold.com.br,facebook.com/topcoldrefrigeracao,,GELSON  A. B. D. F.,
BRUSTEC METALURGICA LTDA,,09.019.836/0001-02,Brusque,SC,"4733503770, 4732521477, 47992424748, 47992917549, 47988142202, 47996784748",https://brustec.com.br/,facebook.com/BrustecOficial,,GERALDO  C.,
"PRODUZA INDUSTRIA, COMERCIO E SERVICOS EM ELETRONICA S.A",,09.637.852/0001-69,Florianópolis,SC,"4839543019, 4839543061",https://produza.ind.br/,facebook.com/produzasa,,CARLOS  A. F. C. A.,"marcos.pedro@produza.ind.br, marcelo.gouvea@produza.ind.br, marcelo.tadano@produza.ind.br, rafael.martins@produza.ind.br, carlos.fadul@produza.ind.br, rosimery.rosa@produza.ind.br, camila.leite@produza.ind.br, cristina.silva@produza.ind.br, chaini.ribeiro@produza.ind.br, geison.silva@produza.ind.br, produza@produza.ind.br, phillip.fujimoto@produza.ind.br, udinei.leite@produza.ind.br, leonardo.brum@produza.ind.br, raphael.nascimento@produza.ind.br, renata.ferreira@produza.ind.br, elisandra.vargas@produza.ind.br, angelica.tamagno@produza.ind.br, comercial@produza.ind.br, privacy@produza.ind.br"
VOLTS AUTOMACAO E MANUTENCAO INDUSTRIAL LTDA,VOLTS AUTOMACAO,17.932.878/0001-68,Francisco beltrão,PR,4630552045,https://voltsautomacao.com.br/,,instagram.com/automacaovolts,CLEDERSON  C.,
EFFISA INDUSTRIA DE MAQUINAS LTDA,EFFISA MAQUINAS,18.660.862/0001-06,Braço do norte,SC,"4836582242, 48999870501, 48999870060, 4836586134",https://effisa.com.br/,facebook.com/effisa,,AMILTON  W. M.,"effisa@effisa.com.br, valdinei@durasa.com.br"
ROTOPLAST INDUSTRIA DE CLIMATIZADORES LTDA,ROTOPLAST CLIMATIZADORES,09.176.237/0001-00,Maravilha,SC,"4936648300, 4830931167, 49988751588, 4936300170",https://rotoplast.com.br/,facebook.com/TopSulRepresentacoes,,ILDO  A. S.,
MAQUETEC DO BRASIL INDUSTRIA E COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA,MAQUETEC DO BRASIL,07.387.074/0001-71,Novo hamburgo,RS,"5135248033, 5130671754, 51981264208",https://maquetec.com.br/,facebook.com/MaquetecBrasil,,GERSON  L. L.,maquetec@maquetec.com.br
WS CRANES INDUSTRIA METALURGICA LTDA,,07.030.842/0001-35,Cachoeirinha,RS,"5130418800, 51981111954",https://wscranes.com.br/,facebook.com/wscranesind,,URSULA  F.,
THERMO STAR EQUIPAMENTOS LTDA,THERMO STAR,07.925.786/0001-05,Massaranduba,SC,"4733071100, 47997831666",https://star.log.br/,facebook.com/thermostarbr,,HANE  L. B. P. S.,
MARGUI MAQUINAS LTDA,,13.991.890/0001-92,Vale real,RS,"5437715000, 5432929735",https://margui.com.br/,facebook.com/marguimaquinas,,GILBERTO  B. D. L.,
CUTLITE DO BRASIL ALTA TECNOLOGIA A LASER LTDA,,08.868.479/0001-94,Blumenau,SC,4732210800,https://cutlite.com.br/,facebook.com/cutlitedobrasiloficial,,LUCA  S.,"vendas@cutlite.com.br, service1@cutlite.com.br"
PIERINI MOLDES E USINAGENS LTDA,,18.371.881/0001-12,Criciúma,SC,"4834449600, 4834426747, 4834428798",https://pierinimoldes.com.br/,facebook.com/pierinimoldes,,HUMBERTO  D. M. P.,
B.LOTTI MOVIMENTACAO DE CARGAS LTDA,B. LOTTI,08.175.349/0001-76,Guaramirim,SC,"4733700490, 4733073838, 4733073800",https://blottionline.com.br/,,"instagram.com/b.lottii,instagram.com/b.lottimovimentacao",FABIANO  P. G.,juliana@blotti.com.br
AGUINALDO J. PASTRE LTDA,PARANA INDUSTRIAL,09.575.600/0001-52,Marau,RS,5433422792,http://paranaindustrial.com.br,facebook.com/paranaindustrialmarau,,AGUINALDO  J. P.,
REDUTORES IBR LTDA.,IBR,08.428.334/0001-72,Caxias do sul,RS,"5430289200, 54992678210",https://redutoresibr.com.br/,facebook.com/Redutores-IBR-385233821502699,,FELIPE  N.,
CAPO ACESSORIOS LTDA,CAPO ACESSORIOS,14.181.991/0001-60,Flores da cunha,RS,"54991590757, 5432927086, 54993032553, 54991672982, 54991653963",https://capo.ind.br/,facebook.com/capoacessorios,,RAFAEL  G. O.,"vendas@capo.ind.br, felipe.orlandin@capo.ind.br"
SUPERACO INDUSTRIA E COMERCIO LTDA,SUPERACO INDUSTRIA E COMERCIO LTDA,10.982.652/0001-22,Caxias do sul,RS,5430252123,http://superaco-rs.com.br,facebook.com/superacocaxias,,CIRILO  R. D.,"vendas@superaco-rs.com.br, adriano@superaco-rs.com.br, fernando@superaco-rs.com.br, rodrigo@superaco-rs.com.br, renan@superaco-rs.com.br, william.martins@superaco-rs.com.br, alceri@superaco-rs.com.br, rosane@superaco-rs.com.br"
BRASLASER INDUSTRIA METALURGICA LTDA.,,14.705.348/0001-99,Caxias do sul,RS,"5432154500, 54999214156",https://braslaser.com.br/,facebook.com/pages/Braslaser-Industria-Metalurgica/1803163419768520,,DANIEL  F. L.,atendimento@braslaser.com.br
PHILOZON - INDUSTRIA E COMERCIO DE GERADORES DE OZONIO LTDA,,07.138.875/0001-01,Balneário camboriú,SC,4733667000,http://loja.philozon.com.br,facebook.com/pages/Philozon-Indústria-e-Comércio-de-Geradores-de-Ozônio/827144680763072,,LETICIA  M. B. P. N.,
BRASSUD INDUSTRIA DE COMPONENTES METALICOS LTDA,,10.508.169/0001-00,Caxias do sul,RS,"5430296177, 5430296108",https://brassud.com.br/,facebook.com/brassud,,LUIZ  F. T. C.,"comercial@brassud.com.br, naisson.leite@brassud.com.br, eduarda.indicatti@brassud.com.br, gerson.blume@brassud.com.br, itacir@brassud.com.br, andressa.gomes@brassud.com.br, rh@brassud.com.br"
ARVAL BENEFICIAMENTOS TEXTEIS S/A,ARVAL PARTICIPACOES,17.713.089/0001-36,Gaspar,SC,"4733081450, 4733329904",https://arvaltextil.com.br/,facebook.com/ArvalTextil,,ARNALDO  C.,"contato@arvaltextil.com.br, gustavo@arvaltextil.com.br, andre06@terra.com.br, recrutamento@arvaltextil.com.br, carla@arvaltextil.com.br, CONTATO@ARVALTEXTIL.COM.BR"
TERALIFE INDUSTRIA DE COLCHOES LTDA,,07.202.780/0001-00,Sarandi,PR,"4430358500, 1532932484, 15997447259",https://teralife.com.br/,facebook.com/Teralifeoficial,,PAULO  M. D. S.,
HA.FATTO INDUSTRIA E COMERCIO DE ESTOFADOS LTDA,HA.FATTO,09.025.325/0001-01,Gaspar,SC,4733180800,https://hafatto.com.br/,facebook.com/hafatto,,FLAVIO  R. G.,
ENERTRAFO TRANSFORMADORES S/A,,12.935.462/0001-80,Flor do sertão,SC,"4936646851, 49999613989",https://enertrafo.com.br/,facebook.com/Enertrafo-Soluções-em-Eletricidade-1444033542540728,,ROGELIO  F.,
FOCO ENERGIA TECNOLOGIA E INOVACAO LTDA,FOCO,28.744.960/0001-85,Maravilha,SC,4936643739,http://focoenergia.ind.br,facebook.com/focoenergiafotovoltaica,,JEOVANY  F.,
NAPORT INDUSTRIA DE PORTAS E PORTOES LTDA,NAPORT PORTAS E PORTOES,26.301.490/0001-50,Camboriú,SC,47999309603,https://naframe.com.br/,facebook.com/naportportas,,TAISON  R. B.,"financeiro@naport.com.br, comercial@naport.com.br"
CAVIQUIOLI TEXTIL LTDA,,14.312.401/0001-91,Guaramirim,SC,4733730768,https://caviquiolitextil.com.br/,facebook.com/caviquiolitextil,,LAURICO  C. J.,administrativo@caviquiolitextil.com.br
EMITELI INDUSTRIA ELETRONICA S/A,EMITELI INDUSTRIA ELETRONICA,14.107.463/0002-42,Pato branco,PR,"4136430947, 41991294749, 4626040414",https://emiteli.com.br/,facebook.com/emiteliindustria,,LUDOMIR  E. F.,
ABRANGE INDUSTRIA E COMERCIO DE CONFECCOES LTDA,ABRANGE TEXTIL,07.807.234/0001-94,Luiz alves,SC,"4733778500, 4733778550",http://abrangetextil.com.br,facebook.com/vistacatavento,,JONAS  R.,
DDX TEXTIL INDUSTRIA E COMERCIO DE MALHAS LTDA,DDX TEXTIL,11.726.756/0001-39,Gaspar,SC,"4733323503, 4733329455",https://ddxtextil.com.br/,facebook.com/ddxtextil,,VALDECIR  P.,
MARCO TEXTIL INDUSTRIA E COMERCIO DE ARTIGOS DO VESTUARIO LTDA,MARCO TEXTIL,07.410.591/0001-14,Luiz alves,SC,4733778750,https://marcotextil.com.br/,facebook.com/marcotextiloficial,,JOAO  T. R. J.,
BLANKS INDUSTRIA E COMERCIO DE PLACAS LTDA,CBM PLACAS,06.947.565/0001-67,Joinville,SC,4734280606,http://cbmplacas.com.br,facebook.com/cbmgrupo,,RICARDO  M. K.,
FUTURA FUNDICAO LTDA,,06.935.509/0001-02,Araquari,SC,"47997650555, 4734471553, 47988021232, 47997150214, 47988395853, 47999311609, 47997740134, 47999311698",https://futurafundicao.com.br/,,instagram.com/futura_fundicao,GEOVANE  F. L.,
MUNDO LOLITA CONFECCAO LTDA,,06.176.923/0001-85,Blumenau,SC,"4730410458, 47996432675",https://mundololita.com/,facebook.com/Mundo-Lolita-2117606685138989,,CAMILA  B.,"financeiro@mundololita.com.br, ana@mundololita.com.br, camila@mundololita.com.br, richard@mundololita.com.br, caroline@mundololita.com.br, marina@mundololita.com.br"
DAHER ACO INDUSTRIAL LTDA.,DAHER ACO,13.871.683/0001-02,Garuva,SC,"4730288255, 4740639356",http://daheraco.com.br,facebook.com/daheraco,,NAGIB  C. D.,contato@daheraco.com.br
METAL SOARES MS LTDA,METAL MS,27.083.615/0001-85,Tubarão,SC,"4836223902, 2132324040",https://metalms.com/,facebook.com/109649594016582,,ELIETE  M. A. S.,"leonardo@mtpmanutencao.com.br, recrutamento@metalurgicams.com, financeiro@metalurgicams.com, nfe@metalurgicams.com, seguranca@metalurgicams.com"
FIMACO DO BRASIL FABRICACAO DE MAQUINAS E EQUIPAMENTOS LTDA.,,14.656.257/0001-00,Lontras,SC,"4735251000, 4735251524",https://fimaco.com.br/,facebook.com/pages/Fimaco-do-Brasil-S-A-Fabricacao-De-Maquinas-E-Equipamento/137198140320653,,GUSTAVO  A. F.,
VMG AIRES INDUSTRIA E COMERCIO DE CLIMATIZACAO LTDA.,VMG AIRES,17.399.099/0001-49,Joinville,SC,"4734897200, 47988082800, 4733342918, 4733465232, 47991873979, 51993283122, 5435229990, 5332220384, 54991130660, 4836266547, 4830341188, 4834434161, 4833439641, 4530962459, 41998129081, 4535288678, 4232272991, 1159211938, 1125414499, 11976441000, 1136447748, 1432274191, 1122296049, 1155754744, 11983226839",https://vmgaires.com.br/,facebook.com/vmgaires,,GILMAR  L. K.,"vmgaires@vmgaires.com.br, gabriel.ecoar@gmail.com, karina@tmautomotivo.com.br"
ELEVITTA ELEVADORES LTDA,ELEVITTA ELEVADORES,18.691.582/0001-65,Aratiba,RS,5433761602,https://elevitta.com.br/,facebook.com/elevittaelevadores,,DAYTON  E.,
