Razão Social,Nome Fantasia,CNPJ,Cidade,UF,Telefones não atendidos e inválidos (exceto contador),Endereço na Web,URL do Facebook,URL do Instagram,Administrador,E-mails válidos
KUKA SYSTEMS DO BRASIL LTDA,KUKA SYSTEMS DO BRASIL LTDA,02.912.332/0001-78,Diadema,SP,"1133822115, 1133822116",,facebook.com/KUKAGlobal,,GILMAR  F. D. M.,"ariani.batista@kuka.com, dominik.lachner@kuka.com, gilmar.miranda@kuka.com"
ALIANCA EQUIPAMENTOS INDUSTRIAIS LTDA,,03.377.410/0001-44,Mogi guaçu,SP,1938915253,https://aliancaequipamentos.com.br/,facebook.com/alianca.equipamentos.industriais,,CELIO  A. S.,
VANASA MULTIGAS ENGENHARIA INDUSTRIA E COMERCIO LTDA.,,07.243.151/0001-10,Cerquilho,SP,"1533845562, 1532884040, 19991766909",https://vanasamultigas.com.br/,facebook.com/Vanasa-Multigás-Engenharia-Industria-e-Comercio-Ltda-1590583567860169,,PLINIO  L. M.,
SCM GROUP TECMATIC MAQUINAS E EQUIPAMENTOS LTDA,,78.977.451/0001-70,São bento do sul,SC,4736313520,http://tecmatic.com.br,facebook.com/scm.tecmatic,,SCM  G. S.,
"ICP LATIN AMERICA INDUSTRIA, COMERCIO E MANUTENCAO DE EQUIPAMENTOS LTDA",ICP LATIN AMERICA,13.129.196/0001-60,Itupeva,SP,1144964320,https://icp-la.com.br/,,,RODRIGO  J. P. L. D.,
SEMCO TECNOLOGIA EM PROCESSOS LTDA.,,15.108.353/0001-87,São paulo,SP,1135762000,https://semcoequipamentos.com.br/,facebook.com/semcoequipamentos,,,
HAHNTEL LTDA,POLLUX - FUN2C,01.533.865/0001-86,Joinville,SC,Nenhum telefone válido no momento.,http://pollux.com.br,facebook.com/PolluxAutomation,,RENATO  R. I.,
TECNOFINK LTDA,,71.087.340/0001-40,Belo horizonte,MG,"31992937000, 2136691195",https://tecnofink.com/,facebook.com/tecnofink,,GLAUCIA  M. L. M.,"processos@contaliza.com.br, redesociais@tecnofink.com"
SMS GROUP METALURGIA DO BRASIL LTDA.,SMS GROUP DO BRASIL,60.863.404/0001-30,Vespasiano,MG,"3121251314, 3121251135, 3121251100",https://www.sms-group.com/,,"instagram.com/sms_group,instagram.com/sms_groupe,instagram.com/smsgroupco,instagram.com/sms_group_int,instagram.com/sms_group_4143,instagram.com/sheiksha11,instagram.com/sms_cons_mex,instagram.com/smsgrouplive",MARCELLUS  P. S.,
TUNKERS DO BRASIL LTDA,,02.619.891/0001-94,Diadema,SP,"1140614161, 1140563100",https://tuenkers.com.br/,,,,
OMECO INDUSTRIA E COMERCIO DE MAQUINAS LTDA,,76.485.390/0001-07,Curitiba,PR,Nenhum telefone válido no momento.,https://omeco.com.br/,facebook.com/omecomaquinas,,AFRANIO  U. D. A.,
PEMILL FUNDICAO E USINAGEM LTDA,PEMILL,08.515.480/0001-35,Divinópolis,MG,"3735125600, 3732217161",https://pemill.com.br/,facebook.com/PemillOficial,,EDSON  L. D. S.,
POLIMOLD INDUSTRIAL LTDA.,POLIMOLD,44.106.466/0001-41,São bernardo do campo,SP,"1143587343, 1143587300, 11982777296, 81983331199, 1143587333",https://polimold.com.br/,facebook.com/Polimoldindustrial,,ALEXANDRE  R. R. F.,"vendas@polimold.com.br, erick@polimold.com.br"
VERDES MAQUINAS E INSTALACOES LTDA,VERDES,45.470.283/0001-73,Itu,SP,"1140248211, 1140248256",https://verdes.com.br/,,,ISABEL  V. B.,
PRONATEC EQUIPAMENTOS INDUSTRIA E COMERCIO LTDA,,57.686.164/0001-31,São paulo,SP,Nenhum telefone válido no momento.,https://pronatec.com.br/,facebook.com/pronatecifce,,ARILDO  M. T.,
INDUCTOTHERM GROUP BRASIL LTDA,INDUCTOTHERM GROUP,51.223.253/0001-65,Indaiatuba,SP,1938856800,https://inductothermgroup.com.br/,,,JOSE  Q. N.,"contato@inductothermgroup.com.br, quintana@inductothermgroup.com.br"
FABRIMA MAQUINAS AUTOMATICAS LTDA,,43.222.439/0001-71,Guarulhos,SP,1132463666,https://fabrima.com/,,,MAURICIO  S. M.,
FACHINI MAQUINAS LTDA,DOBRADEIRAS FACHINI,04.152.592/0001-18,Cascavel,PR,Nenhum telefone válido no momento.,https://dobradeirasfachini.com.br/,facebook.com/dobradeirafachini,,JUCEMAR  E. F.,
IBRAFER MBM LTDA.,IBRAFER,71.477.426/0001-89,Sorocaba,SP,1532194020,https://ibrafer.com/,,,JOSE  H. D. S. T.,"patricia.vaz@ibrafer.com, contato@ibrafer.com"
DE NORA DO BRASIL LTDA,,00.776.908/0001-91,Sorocaba,SP,"1521014450, 1521014456",,facebook.com/pages/De-Nora-do-Brasil/395617850546735,,LUIZ  G. N.,luiz.gonzaga@denora.com
MIB MECANICA INDUSTRIAL BUENO LTDA,,01.478.443/0001-55,Betim,MG,3131982800,,,,ANDRE  L. B.,
LONGA INDUSTRIAL LTDA,,61.585.733/0001-20,Porto feliz,SP,1532628100,https://longa.com.br/,facebook.com/longaindustrial.armazenagem,,QUENTRICO  I.,
MECSTEEL - INDUSTRIA MECANICA LTDA,MECSTEEL,02.099.296/0001-75,Barra mansa,RJ,Nenhum telefone válido no momento.,https://mecsteel.ind.br/,,instagram.com/its_skrtt,PAULO  C. B. D. S.,
ZUIKO INDUSTRIA DE MAQUINAS LTDA.,,15.500.776/0001-48,Pindamonhangaba,SP,1236427028,https://zuiko.com.br/,,,ZUIKO  C. L.,"wellington.silva@zuiko.com.br, eduardo.donatilio@zuiko.com.br, weverton.silva@zuiko.com.br, alison.oliveira@zuiko.com.br, miyuki.kubo@zuiko.com.br"
BALAN EQUIPAMENTOS INDUSTRIAIS LTDA,,00.439.027/0001-85,Piracicaba,SP,1934336828,http://balanequipamentos.com.br,,,VORNEY  A. B.,
ADZ INDUSTRIA E COMERCIO LTDA,A D Z SERVICOS MECANICOS,01.812.637/0001-45,Tambaú,SP,Nenhum telefone válido no momento.,https://adz.com.br/,facebook.com/Adzind,,APARECIDO  D. Z.,financeiro2@adz.com.br
CONMEC INDUSTRIAL LTDA,,01.191.207/0001-53,Aracruz,ES,2732707100,https://conmec.com.br/,,,CELIO  C. G.,"nathan@conmec.com.br, celio@conmec.com.br, romero@conmec.com.br, lais.bissi@conmec.com.br, ronoaldo@conmec.com.br, wanderson@conmec.com.br, natan.oliveira@conmec.com.br, joao.devens@conmec.com.br, celia@conmec.com.br, tiago.cavaglieri@conmec.com.br, andre@conmec.com.br, noef@conmec.com.br, murilo@conmec.com.br, diego.sampaio@conmec.com.br, comercial@conmec.com.br"
"SIAUTEC SISTEMAS DE AUTOMACAO, TECNOLOGIA E ROBOTICA LTDA",SIAUTEC ENGENHARIA INDUSTRIAL,22.151.274/0001-14,Betim,MG,3125593859,,facebook.com/siautec,,BRUNO  P. C.,
ICON S/A - EQUIPAMENTOS E MOLDES,,00.364.536/0001-96,Criciúma,SC,"8332340529, 8332340738",iconmatrizesemoldes.com.br,,,RONALDO  A. D. F.,
PREMIER TECH SISTEMAS E AUTOMACAO INDUSTRIA E COMERCIO DO BRASIL LTDA,,72.734.627/0001-87,Jundiaí,SP,"1145251151, 1126219023",,,,JULIANO  F. B.,nfe.ptsa@premiertech.com
SOLGIM SOLDA E METAIS LTDA,,01.183.257/0001-99,Atibaia,SP,Nenhum telefone válido no momento.,https://solgim.com.br/,,,LEANDRO  G.,"solgim@solgim.com.br, daiane@solgim.com.br, leandro@solgim.com.br"
RULLI STANDARD INDUSTRIA E COMERCIO DE MAQUINAS LTDA,,61.303.756/0001-02,Guarulhos,SP,"1124860006, 1124894500",https://rullistandard.com.br/,,,LUIS  C. R.,
CAVENAGHI INDUSTRIA E COMERCIO DE EQUIPAMENTOS ESPECIAIS LTDA,,04.589.483/0001-62,São paulo,SP,11940056880,https://cavenaghi.com.br/,facebook.com/SiteCavenaghi,,CARLOS  E. C.,
FUNDIMAZZA INDUSTRIA E COMERCIO DE MICROFUNDIDOS LTDA,FUNDIMAZZA,03.566.509/0001-94,Cordeirópolis,SP,Nenhum telefone válido no momento.,https://fundimazza.com.br/,,,SERGIO  A. D. S.,
LIESS MAQUINAS E EQUIPAMENTOS LTDA.,,92.765.833/0001-61,Canoas,RS,Nenhum telefone válido no momento.,https://liess.ind.br/,,,JOSE  L. R.,
NICROM INDUSTRIAL LTDA,,76.596.659/0001-14,Curitiba,PR,4133324377,https://nicrom.com.br/,facebook.com/Nicrom3D,,MAURICIO  A. D. S.,johnq002@gmail.com
NETZSCH INDUSTRIA E COMERCIO DE EQUIPAMENTOS DE MOAGEM LTDA,NETZSCH EQUIPAMENTOS,07.389.050/0001-51,Pomerode,SC,4733877031,http://netzsch-grinding.com,facebook.com/netzsch.moagem,,JULIO  N. D. C.,
S. E. E. SISTEMAS INDUSTRIA E COMERCIO LTDA,,65.512.733/0001-50,São paulo,SP,1136236500,https://seesistemas.com.br/,,,ESAU  M. R.,
GASCAT INDUSTRIA E COMERCIO LTDA,GASCAT,00.965.449/0001-94,Indaiatuba,SP,1939369300,https://gascat.com.br/,facebook.com/GasCat-1554230661328669,,CELSO  P. N.,turbintojas@gmail.com
TECNOFLEX INDUSTRIA MECANICA LTDA.,,01.812.925/0001-08,Vespasiano,MG,"3134982088, 31988647727",https://tecnoflexmg.com.br/,,,ANTONIO  L. D. A. N.,
LEOGAP INDUSTRIA E COMERCIO DE MAQUINAS LTDA,,76.520.758/0001-12,Curitiba,PR,"4130283190, 41988877715",https://leogap.com/,facebook.com/probatleogap,,MAXIMILIAN  J. M.,
ANDRITZ SEPARATION INDUSTRIA E COMERCIO DE EQUIPAMENTOS DE FILTRACAO LTDA,ANDRITZ SEPARATION,06.349.916/0001-38,Pomerode,SC,"4733879100, 4733879174, 4733879170",http://andritz.com.br,facebook.com/pages/andritz-separation/916025452101918,,LUIS  M. B.,
CROMO AZUL INDUSTRIA E COMERCIO DE ART DE ARAME LTDA,CROMO AZUL,00.901.682/0001-03,Itaquaquecetuba,SP,Nenhum telefone válido no momento.,http://cromoazul.com.br,facebook.com/cromoazul,,ADOLFO  B.,
PIOVAN DO BRASIL INDUSTRIA E COMERCIO LTDA,,48.296.321/0001-01,Osasco,SP,1136939529,http://piovan.com.br,facebook.com/pages/Piovan-Do-Brasil/281022148670659,,RICARDO  P. S.,
MILLING FERRAMENTAS PARA PUNCIONADEIRAS LTDA,,04.735.511/0001-02,Diadema,SP,1156242444,http://milling.com.br,,,FABIO  A. V.,
"FEACO INDUSTRIA, COMERCIO E DISTRIBUIDORA DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS LTDA",FEACO LTDA,22.356.415/0001-35,Rio das pedras,SP,"1934933478, 1934374800",https://feaco.com.br/,,instagram.com/my.feaco,MARCOS  M. F.,
TOX PRESSOTECHNIK DO BRASIL- INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA,TOX PRESSOTECHNIK DO BRASIL,03.818.222/0001-04,Joinville,SC,"4734199030, 4734199000",,facebook.com/tox.pressotechnik.brasil,,DIEGO  H. T.,
SONITRON ULTRA SONICA LIMITADA,,43.052.976/0001-10,Santana de parnaíba,SP,1141569999,,,,ANTONIO  J. S.,
MASIPACK INDUSTRIA E COMERCIO DE MAQUINAS AUTOMATICAS S/A EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL,,58.071.614/0001-44,São bernardo do campo,SP,"1141788306, 1132463666",https://masipack.com.br/,,instagram.com/masipack,MAURICIO  S. M.,"josivanio.silva@masipack.com.br, claudinei@masipack.com.br, marcelo.antunes@masipack.com.br, stefany.silva@masipack.com.br, liliane.silva@masipack.com.br, bruna.pereira@masipack.com.br, fernando.chemello@masipack.com.br, alcione.silva@masipack.com.br, claudio.junior@masipack.com.br, mayara.oban@masipack.com.br, leonardo.ferreira@masipack.com.br, fernando.reis@masipack.com.br, renan.pereira@masipack.com.br, anderson.marinho@masipack.com.br"
METALFEMA FERRAMENTAS PNEUMATICAS E ELETRICAS LTDA.,METALFEMA,89.813.802/0001-24,São leopoldo,RS,92984026237,metalfema.com.br,,,ERNESTO  F.,"vicente@metalfema.com.br, janaina@metalfema.com.br"
CRIPPA MAQUINAS E EQUIPAMENTOS LTDA,,01.630.356/0001-71,Bálsamo,SP,"1732649100, 1735123003",https://crippamaquinas.com.br/,facebook.com/570881216745151,,JOSE  R. R.,
SYSTEMPACK DO BRASIL INDUSTRIA DE MAQUINAS LTDA,,07.831.810/0001-39,Joinville,SC,4734548888,https://systempackdobrasil.com.br/,facebook.com/systempackdobrasil,,SILVIO  A. P.,
IMSB INDUSTRIA DE MAQUINAS E EQUIPAMENTOS LTDA.,,02.594.636/0001-34,Bento gonçalves,RS,5434557200,https://imsb.com.br/,facebook.com/imsbacompanyofaetnagroup,,,jmarchioro@robopac.com.br
SPEEDMAQ INDUSTRIA E COMERCIO DE MAQUINAS LTDA,,63.959.357/0001-11,São paulo,SP,"1138581633, 1138585671",https://speedmaq.com.br/,,instagram.com/speedmaqoficial,EDUARDO  G. D. A.,
MOTION BRASIL - TECNOLOGIA E AUTOMACAO LTDA,,01.306.302/0001-55,Caxias do sul,RS,Nenhum telefone válido no momento.,https://motionbrasil.com.br/,facebook.com/MotionBrasilTecnologiaEAutomacaoLtda,,JULIO  F.,
GIACOMELLI - INDUSTRIA DE MAQUINAS LTDA,GIACOMELLI MAQUINAS,92.257.641/0001-44,Caxias do sul,RS,5432123099,https://giacomelli.ind.br/,facebook.com/giacomellimaquinas,,MAURO  L. G.,
"CEMAS DO BRASIL, INDUSTRIA DE MAQUINAS PARA USO INDUSTRIAL LTDA",,07.568.340/0001-62,Contagem,MG,3133293950,cemasdobrasil.com.br,facebook.com/cemasdobrasil,,GILNEY  G. D. L.,
ACOESPECIAL COMERCIAL LTDA,A.A.A. ACOESPECIAL,52.491.578/0001-91,São paulo,SP,"11983579549, 1133926700",https://acoespecial.com.br/,,,PAULO  S. R.,
LANMAR INDUSTRIA METALURGICA LTDA,,44.630.044/0001-70,Hortolândia,SP,1921185000,https://lanmarmetal.com.br/,,,JORGE  C. L.,lanmar@lanmarmetal.com.br
PROMINAS BRASIL EQUIPAMENTOS LTDA,,59.598.946/0001-44,São carlos,SP,Nenhum telefone válido no momento.,https://prominas.com.br/,facebook.com/prominas.equipamentos,"instagram.com/prominas,instagram.com/prominas.brasil",UBIRACI  M. P. C.,
WORTEX MAQUINAS E EQUIPAMENTOS LTDA,,48.181.267/0001-59,Campinas,SP,Nenhum telefone válido no momento.,https://wortex.com.br/,facebook.com/wortexmaquinas,,PAOLO  D. F.,
CARBOSYS INDUSTRIA LTDA,,34.829.045/0001-95,Campo largo,PR,41991088119,https://carbosys.com.br/,,,FERNANDO  G.,
MUNTERS BRASIL INDUSTRIA E COMERCIO LTDA,,00.385.090/0001-86,Araucária,PR,4133175050,https://munters.com.br/,,,LEONARDO  P. E. F.,
FULTEC INOX LTDA,FULTEC,01.803.338/0001-44,São carlos,SP,Nenhum telefone válido no momento.,https://fultecinox.com.br/,,,RENATO  F. D. A.,
DUREN EQUIPAMENTOS INDUSTRIAIS - EM RECUPERACAO JUDICIAL LTDA,,03.119.154/0001-95,Mauá,SP,1145437370,https://duren.com.br/,facebook.com/durenequipamentos,,MARIA  A. G.,legalizacao@admcontconsultoria.com.br
MAQUINAS OMIL LTDA,,84.148.485/0001-55,Ibirama,SC,4733578300,maquinasomil.com.br,facebook.com/fundicaoomil,,OMIL  P. S. L.,
CARPAN EQUIPAMENTOS AGROINDUSTRIAIS LTDA,CARPAN,87.273.694/0001-19,Panambi,RS,5533753484,http://carpan.com.br,,,LUISA  L. W. R.,
GAMA INDUSTRIA DE MATRIZES LTDA,,00.327.921/0001-63,Caxias do sul,RS,Nenhum telefone válido no momento.,https://gama.ind.br/,,,ANTONIO  D. G.,
LEWA BRASIL EQUIPAMENTOS LTDA,LEWA BRASIL,02.284.525/0001-21,Diadema,SP,1140759999,https://lewa.com.br/,facebook.com/lewabr,,VANESSA  A. D. C. D.,
PROMAC EQUIPAMENTOS LTDA,,57.911.950/0001-95,Sumaré,SP,"8332164800, 1938388400",https://promacbrasil.com.br/,facebook.com/PromacLtda,,JOAO  L. J.,
CARBOGRAFITE EQUIPAMENTOS INDUSTRIAIS LTDA,,36.427.615/0001-46,Petrópolis,RJ,"62991586705, 62984899035, 6432213310, 4130398098, 65999983213, 41999680012, 6734283386, 31999340072, 4133491685",https://carbografite.com.br/,facebook.com/JdRepresentacoesLtda,,IVENS  P. D. D. S.,"jdgoias@gmail.com, vendas.eletroagil@hotmail.com, oficina.regulex@gmail.com, contato@servsolda.com.br, reimaq_manutencao@hotmail.com, atlantismanutencao@hotmail.com, eletrosoldas2016@gmail.com, eletrotecnicamm@hotmail.com, salomaopchagas@gmail.com, rebobinadora_tocantins@hotmail.com, eletroeletronicaamaral@outlook.com"
KUTTNER DO BRASIL EQUIPAMENTOS SIDERURGICOS LIMITADA,KUTTNER DO BRASIL,16.714.685/0001-78,Contagem,MG,Nenhum telefone válido no momento.,https://kuttner.com.br/,,,JOAQUIM  L. M. D. B. J.,
CBD MECANICA INDUSTRIAL LTDA,CBD MECANICA INDUSTRIAL,59.905.042/0001-14,Suzano,SP,1147453947,https://cbd.com.br/,,,JOAO  U.,
EQUILIBRIO BALANCEAMENTOS INDUSTRIAIS LTDA,,02.115.297/0001-66,Sertãozinho,SP,Nenhum telefone válido no momento.,https://equilibrio.ind.br/,,,CARLOS  A. C. J.,contato@equilibrio.ind.br
SANTOFER FERROS E PERFILADOS LTDA,,01.291.412/0001-90,Nova odessa,SP,Nenhum telefone válido no momento.,https://santofer.com.br/,,,PAULO  F. C.,
MECANEL MECANICA E ELETRONICA INDUSTRIAL LTDA,MECANEL,66.595.737/0001-02,Mauá,SP,Nenhum telefone válido no momento.,https://mecanel.com.br/,,,GUSTAVO  T.,
APEX LATIN AMERICA INDUSTRIA DE MAQUINAS E EQUIPAMENTOS LTDA.,,13.677.173/0001-90,Campo magro,PR,"4136772678, 41999184036, 11999438051, 3620993834, 11947730551, 1148470020, 1153085179, 7529611121, 44977041684, 1145431647, 21964683493, 59988779117, 2155122028, 55987931529, 63917898368, 65997515725, 91970303171",http://apexlatinamerica.com,,,VALCINEI  F. B.,
MENDES MAQUINAS LTDA,,83.750.729/0001-02,Curitibanos,SC,4932410066,https://mendesmaquinas.com.br/,facebook.com/Mendesmaquinas,,ANDRE  M. F.,
SEMACALD PRODUTOS E SERVICOS LTDA,SEMACALD,02.813.519/0001-14,Joinville,SC,Nenhum telefone válido no momento.,https://semacald.com.br/,facebook.com/semacald,,LUIZ  C. P. J.,
MAQUINAS DANLY LTDA,,43.299.791/0001-05,Mairinque,SP,"1121070437, 1121070431",https://mdl-brasil.com.br/,,,LUZINALDO  N. D. S.,adminmq@mdl-danly.com.br
"GOEMA CONSULTORIA,INDUSTRIA E COMERCIO LTDA",,49.928.054/0001-00,São paulo,SP,Nenhum telefone válido no momento.,https://goema.com.br/,facebook.com/goema.brasil,,WOLFGANG  J. R.,
MARLI DAS GRACAS WOLFF TESTONI,GEOMETRIC EQUIPAMENTOS INDUSTRIAIS,95.755.617/0001-23,Joinville,SC,Nenhum telefone válido no momento.,https://geometric.ind.br/,,,,
SERVITECH SERVICOS TECNICOS E REPRESENTACOES LTDA,,81.857.112/0001-65,Tubarão,SC,4836282912,https://servitech.com.br/,,,JOSE  A. A.,
MOINHO YPIRANGA INDUSTRIA DE MAQUINAS LTDA,MOINHO IPIRANGA,13.273.368/0001-75,São bernardo do campo,SP,"1145553099, 1145139570",https://colorcell.com.br/,,,MARIA  A. D. S.,
MAGO AUTOMACAO INDUSTRIA E COMERCIO LTDA,,14.144.332/0001-54,São bernardo do campo,SP,"1150312860, 1123550255",https://mago.ind.br/,,,JOSE  L. G. G.,
MODELO LABOR METALURGICA LTDA,MODELO,00.132.003/0001-89,Mairinque,SP,1122712828,https://multifritas.com.br/,,,SABRINA  R. D. B.,
GLUAL HIDRAULICA DO BRASIL LTDA,GLUAL HIDRAULICA,18.121.051/0001-37,Sorocaba,SP,1533162370,https://glual.com.br/,,,RAMON  F. P.,
CSO MAQUINAS E CONSULTORIA LTDA.,,01.580.629/0001-10,Indaial,SC,"4733231440, 4733336535, 47999691647",https://csomaquinas.com.br/,,,CARLOS  A.,
SEEPIL SERVICOS E EQUIPAMENTOS ESPECIAIS PARA A INDUSTRIA A P LTDA,,49.297.567/0001-60,Duque de caxias,RJ,2127768557,http://seepil.com.br,facebook.com/seepilvalves,,VINICIUS  C. C.,
ZECON LTDA,ZECON,06.125.289/0001-51,Cataguases,MG,Nenhum telefone válido no momento.,https://zecon.com.br/,,,JURGEN  H.,
UNESA INDUSTRIA E COMERCIO DE MAQUINAS LTDA,,05.626.926/0001-00,Braço do norte,SC,4836582818,http://unesamaquinas.com.br,facebook.com/unesamaquinas,,ETI  G. U.,
PRUFTECHNIK MGS COMERCIO E SERVICOS LTDA,PRUFTECHNIK MGS,08.620.732/0001-96,Pedro leopoldo,MG,Nenhum telefone válido no momento.,http://fenos.com.br,facebook.com/pruftechnikmgs,,EMILIANO  B. D. S.,belavista@fenos.com.br
ENGECROL INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA,ENGECROL,08.072.376/0001-13,Paulínia,SP,Nenhum telefone válido no momento.,https://engecrol.com.br/,,,SERGIO  E. S. C.,
SUPORT EQUIPAMENTOS INDUSTRIAIS LTDA,,04.991.967/0001-33,Tijucas,SC,Nenhum telefone válido no momento.,https://suportequipamentos.com.br/,,,ROBERTA  P. C.,"vendas@suportequipamentos.com.br, isabelle@suportequipamentos.com.br"
AMPLA INDUSTRIA METALURGICA LTDA,,89.660.757/0001-15,Getúlio vargas,RS,5433416800,https://ampla.ind.br/,facebook.com/Ampla-Indústria-Metalúrgica-1542150092743704,,DARCI  A. A.,
USITECNICA INDUSTRIA E COMERCIO LTDA,,08.648.962/0001-63,Uberaba,MG,3433345903,,,,ALINE  A. M. S. E. C.,
INDUSTRIA METALURGICA USIFER LTDA,USIFER,45.130.127/0001-63,Vinhedo,SP,1938268990,https://usifer.com.br/,,,LUIZ  M.,
GRUBRAS INDUSTRIA E COMERCIO DE GRUAS LTDA,,09.495.319/0001-00,Indaial,SC,4732819100,https://grubras.ind.br/,,instagram.com/grubras,HORST  B. J.,
RUB-ROL ROLOS GRAFICOS LTDA,RUB - ROL,05.285.916/0001-59,São paulo,SP,Nenhum telefone válido no momento.,http://rubrol.com.br,,,ANDRE  L. R.,
ESFER ESTAMPARIA E FERRAMENTARIA LTDA,ESFER,44.684.082/0001-06,Nova odessa,SP,Nenhum telefone válido no momento.,https://esfer.com.br/,,,SANTO  J. C.,
CIMEF METALURGIA LTDA EM RECUPERACAO JUDICIAL,,27.190.966/0001-95,Cachoeiro de itapemirim,ES,28999148399,https://cimef.com.br/,,instagram.com/cimefmetalurgia,VALQUIRIA  L. B.,
P.E. LATINA - MAQUINAS PARA ROTULAGEM LTDA.,,08.243.877/0001-15,Embu das artes,SP,"1137441430, 1147881420",https://pelatina.com.br/,,,FEDERICO  V.,
BAUSANO DO BRASIL COMERCIO IMPORTACAO E EXPORTACAO LTDA,BAUSANO DO BRASIL,03.044.107/0001-20,São paulo,SP,1156118981,https://bausanodobrasil.com/,,,CHRYSTALINO  B. F.,
HAVER & BOECKER LATINOAMERICANA MAQUINAS LIMITADA,HAVER & BOECKER,44.000.941/0001-09,Monte mor,SP,"1938799100, 9433465124, 1938797130, 1932898819, 66999841670, 51999814573",https://haverbrasil.com.br/,facebook.com/HaverBoeckerLatinoamericana,,RONALDO  C. D. S.,
PERFURATRIZ DTH HAMMERS TOOLS LTDA,PERFURATRIZ DTH,04.175.538/0001-98,Piracicaba,SP,"7734271588, 19974231594, 6230401771, 19974146074",https://perfuratrizdth.com.br/,facebook.com/grupoperfuratrizdth,,DARCI  D. L. N.,patricia@grupoperfuratrizdth.com.br
BZM INDUSTRIA E COMERCIO DE AUTO PECAS LTDA,,03.608.391/0001-10,Gaspar,SC,Nenhum telefone válido no momento.,https://bzm.com.br/,,,BRUNA  A. B.,
VALLFER - TINTAS E SUPRIMENTOS LTDA,,08.276.400/0001-36,Arapongas,PR,Nenhum telefone válido no momento.,http://vallfer.com.br,facebook.com/vallfersuprimentos,,FERNANDO  A. E.,
PLENUS MANUTENCAO INDUSTRIA E COMERCIO LTDA,,03.439.426/0001-34,Poços de caldas,MG,"3537133300, 3537135557",https://plenusmanutencao.com.br/,facebook.com/plenusmanutencao,,REGINALDO  A. D. S.,
